Albany,"12,229",NY,Albany,42.65,-73.76
Albany,"12,230",NY,Albany,42.65,-73.76
Albany,"12,231",NY,Albany,42.65,-73.76
Albany,"12,232",NY,Albany,42.65,-73.76
Albany,"12,233",NY,Albany,42.65,-73.76
Albany,"12,234",NY,Albany,42.65,-73.76
Albany,"12,235",NY,Albany,42.65,-73.76
Albany,"12,236",NY,Albany,42.65,-73.76
Albany,"12,237",NY,Albany,42.65,-73.76
Albany,"12,238",NY,Albany,42.65,-73.76
Albany,"12,239",NY,Albany,42.65,-73.76
Albany,"12,240",NY,Albany,42.65,-73.76
Albany,"12,241",NY,Albany,42.65,-73.76
Albany,"12,242",NY,Albany,42.65,-73.76
Albany,"12,243",NY,Albany,42.65,-73.76
Albany,"12,244",NY,Albany,42.65,-73.76
Albany,"12,245",NY,Albany,42.65,-73.76
Albany,"12,246",NY,Albany,42.65,-73.75
Albany,"12,247",NY,Albany,42.65,-73.76
Albany,"12,248",NY,Albany,42.65,-73.76
Albany,"12,249",NY,Albany,42.65,-73.76
Albany,"12,250",NY,Albany,42.65,-73.76
Albany,"12,252",NY,Albany,42.65,-73.76
Albany,"12,255",NY,Albany,42.65,-73.76
Albany,"12,256",NY,Albany,42.65,-73.76
Albany,"12,257",NY,Albany,42.65,-73.76
Albany,"12,260",NY,Albany,42.65,-73.76
Albany,"12,261",NY,Albany,42.65,-73.76
Albany,"12,288",NY,Albany,42.65,-73.76
Alcove,"12,007",NY,Albany,42.46,-73.93
Altamont,"12,009",NY,Albany,42.71,-74.02
Berne,"12,023",NY,Albany,42.61,-74.15
Bosler,"82,051",WY,Albany,41.57,-105.61
Buford,"82,052",WY,Albany,41.12,-105.30
Centennial,"82,055",WY,Albany,41.34,-105.99
Clarksville,"12,041",NY,Albany,42.58,-73.96
Coeymans Hollow,"12,046",NY,Albany,42.49,-73.92
Coeymans,"12,045",NY,Albany,42.48,-73.80
Cohoes,"12,047",NY,Albany,42.78,-73.71
Delmar,"12,054",NY,Albany,42.62,-73.84
Dormansville,"12,055",NY,Albany,42.61,-73.97
East Berne,"12,059",NY,Albany,42.62,-74.06
Feura Bush,"12,067",NY,Albany,42.56,-73.92
Garrett,"82,058",WY,Albany,42.20,-105.68
Glenmont,"12,077",NY,Albany,42.60,-73.80
Guilderland Center,"12,085",NY,Albany,42.69,-73.91
Guilderland,"12,084",NY,Albany,42.70,-73.90
Jelm,"82,063",WY,Albany,41.06,-106.01
Knox,"12,107",NY,Albany,42.66,-74.12
Laramie,"82,070",WY,Albany,41.44,-105.80
Laramie,"82,071",WY,Albany,41.31,-105.59
Laramie,"82,072",WY,Albany,41.42,-105.48
Laramie,"82,073",WY,Albany,41.31,-105.62
Latham,"12,110",NY,Albany,42.75,-73.76
Medusa,"12,120",NY,Albany,42.45,-74.13
Newtonville,"12,128",NY,Albany,42.73,-73.76
Preston Hollow,"12,469",NY,Albany,42.46,-74.24
Ravena,"12,143",NY,Albany,42.48,-73.82
Rensselaerville,"12,147",NY,Albany,42.51,-74.15
Rock River,"82,083",WY,Albany,41.75,-105.97
Selkirk,"12,158",NY,Albany,42.55,-73.81
Slingerlands,"12,159",NY,Albany,42.65,-73.87
South Bethlehem,"12,161",NY,Albany,42.53,-73.85
Tie Siding,"82,084",WY,Albany,41.05,-105.45
Troy,"12,183",NY,Albany,42.75,-73.69
Voorheesville,"12,186",NY,Albany,42.64,-73.94
Watervliet,"12,189",NY,Albany,42.73,-73.71
Westerlo,"12,193",NY,Albany,42.52,-74.04
Batesville,"22,924",VA,Albemarle,38.00,-78.73
Charlottesville,"22,901",VA,Albemarle,38.09,-78.56
Charlottesville,"22,909",VA,Albemarle,38.02,-78.45
Charlottesville,"22,911",VA,Albemarle,38.10,-78.41
Covesville,"22,931",VA,Albemarle,37.91,-78.71
Crozet,"22,932",VA,Albemarle,38.13,-78.71
Earlysville,"22,936",VA,Albemarle,38.16,-78.49
Esmont,"22,937",VA,Albemarle,37.81,-78.61
Free Union,"22,940",VA,Albemarle,38.19,-78.58
Greenwood,"22,943",VA,Albemarle,38.04,-78.78
Howardsville,"24,562",VA,Albemarle,37.75,-78.63
Ivy,"22,945",VA,Albemarle,38.07,-78.60
Keene,"22,946",VA,Albemarle,37.86,-78.57
Keswick,"22,947",VA,Albemarle,38.05,-78.34
